name,countries,n_as
JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan,KZ,4
"IEX Group, Inc.",US,4
Gostaresh Ertebat Azin Kia Company PJSC,IR,4
National Information Center (NIC),SA;SD,4
Bhutan Telecom Ltd,BT,4
Telecommunication Inc.,TH,4
"LLC ""Caprate Partners""",UA,4
"Databank, Inc.",US,4
Foresightwave INC.,JP,4
Gateway Communications,BE,4
TELEHOUSE International Corp. of America,US,4
Veriteknik Bilisim Basin Ve Yayin Limited Sirketi,TR,4
Commerzbank AG New York Branch,US,4
"CallTower, Inc.",US,4
Zito Media,US,4
Kamatera Inc,US,4
4on LTD,GB,4
DITT REDMOVIL SL,ES,4
Anthem Broadband,US,4
JSC BALTICOM,LV,4
JSC RTComm.RU,RU,4
Magma Communications Ltd.,CA,4
"LLC ""ATOM3""",UA,4
NCS AU Pty Ltd,AU,4
GTT Communications Netherlands B.V.,NL,4
"Gamania CloudForce Co., Ltd",TW,4
Internet Names For Business Inc.,CA,4
"CoreSpace, Inc.",US,4
NPC Media Pty Limited,AU,4
MCSWEEN TELECOM Limited,RW,4
Artnet Sp. z o.o.,PL,4
TCR Holdings Ltd,NZ,4
